PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Munoz, NS				Soriano Munoz, Nuria			Behind the words: Political uses of the concept "impartiality" and its function in the construction of the history of America in the Spanish Enlightenment	HISTORIA DA HISTORIOGRAFIA			Portuguese	Article						Impartiality; Hispanic America; Enlightenment		In a time of renewed debate about presentism and the objectivity of historians, the goal of this article is to question the ideological uses and the political functions that the concept of "impartiality" has played in the Spanish Enlightenment, its relation with the writing of history and, more specifically, with the conquest of America. Through a variety of printed texts from the late eighteenth to the early nineteenth-century -apologies, praises, dictionaries and other literary texts- and through a methodology that unites the cultural history and concepts, the focus will be on how the eighteenth-century cultural elites attributed a positive and necessary meaning to the concept to build discourses on what happened in 1492. Dismantling its ideological dimension allows understanding "impartiality" as a constructive tool to "difference", a notion that legitimates and grants prestige to the Spanish nation as well as structures a complex network of identities.	[Soriano Munoz, Nuria] Univ Valencia, Dept Hist Moderna & Contemporanea, Area Hist Moderna, APOSTD,Generalitat Valenciana, Avda Blasco Ibanez 28, Valencia 46010, Spain		Munoz, NS (corresponding author), Univ Valencia, Dept Hist Moderna & Contemporanea, Area Hist Moderna, APOSTD,Generalitat Valenciana, Avda Blasco Ibanez 28, Valencia 46010, Spain.	nuria.soriano@uv.es	Soriano, Nuria/P-5793-2019	Soriano, Nuria/0000-0001-5681-2954				67	0	0	0	0	UNIV FEDERAL OURO PRETO, DEPT HISTORIA	MARIANA	RUA DIOGO DE VASCONCELOS 122, MARIANA, MG 35400-000, BRAZIL	1983-9928			HIST HISTORIOGR	Hist. Historiogr.	MAY-AUG	2018	27						202	225		10.15848/hh.v0i27.1318			24	History	Emerging Sources Citation Index (ESCI)	History	GN3NW	WOS:000438913700010		Green Submitted, gold			2022-03-30	
J	Gluck, AR; Posner, RA				Gluck, Abbe R.; Posner, Richard A.			STATUTORY INTERPRETATION ON THE BENCH: A SURVEY OF FORTY-TWO JUDGES ON THE FEDERAL COURTS OF APPEALS	HARVARD LAW REVIEW			English	Article							LAW; CANONS; LEGISLATION; TEXTUALISM; DECISION; DELEGATION; CHEVRON; STATES; RULES	This Article reports the results of a survey of a diverse group of forty-two federal appellate judges concerning their approaches to statutory interpretation. The study reveals important differences between their approaches and the approach that the Supreme Court purports to take. It also helps to substantiate the irrelevance of the enduring, but now-boring, textualism-versus-purposivism debate. None of the judges we interviewed was willing to associate himself or herself with "textualism" without qualification. All consult legislative history. Most eschew dictionaries. All utilize at least some canons of construction, but for reasons that range from "window dressing," to the use of canons to assist in opinion writing, to a view that they are useful decision tools. Most of the judges we interviewed are not fans of Chevron, except for the judges on the D.C. Circuit, which hears the bulk of Chevron cases. Some of the judges interviewed believe that understanding Congress is important to a judge's work, while others do not see how judges can use such understanding to decide cases. Most express doubt that the Supreme Court's interpretive methodology binds the lower courts. The younger judges, who attended law school and practiced during the ascendance of textualism, are generally more formalist and accepting of the canons of construction, regardless of political affiliation. The older judges are less focused on canons, take a broader view of their delegated authority, and appear to grapple more with questions of judicial legitimacy. The approach that emerged most clearly from our interviews might be described as intentional eclecticism. Most of the judges we spoke to are willing to consider many different kinds of argument and evidence, and defend that approach as the only democratically legitimate one. Yet at the same time many observe a gap between how they actually decide cases and how they write opinions, a gap they attribute to the disconnect between the expectations of the public and the realities of judicial decisionmaking.	[Gluck, Abbe R.] Yale Law Sch, Law, New Haven, CT 06520 USA; [Gluck, Abbe R.] Yale Law Sch, Solomon Ctr Hlth Law & Policy, New Haven, CT 06520 USA; [Posner, Richard A.] Team Posner Inc, New Haven, CT USA		Gluck, AR (corresponding author), Yale Law Sch, Law, New Haven, CT 06520 USA.; Gluck, AR (corresponding author), Yale Law Sch, Solomon Ctr Hlth Law & Policy, New Haven, CT 06520 USA.							97	25	25	0	4	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	MAR	2018	131	5					1300	1373					74	Law	Social Science Citation Index (SSCI)	Government & Law	FY7OP	WOS:000427052700002					2022-03-30	
J	Rout, JK; Choo, KKR; Dash, AK; Bakshi, S; Jena, SK; Williams, KL				Rout, Jitendra Kumar; Choo, Kim-Kwang Raymond; Dash, Amiya Kumar; Bakshi, Sambit; Jena, Sanjay Kumar; Williams, Karen L.			A model for sentiment and emotion analysis of unstructured social media text	ELECTRONIC COMMERCE RESEARCH			English	Article						Sentiment analysis; Bag-of-words; Lexicon; Laplace smoothing; Parts-of-Speech (POS); Machine learning	SEMANTICS; REVIEWS	Sentiment analysis has applications in diverse contexts such as in the gathering and analysis of opinions of individuals about various products, issues, social, and political events. Understanding public opinion can help improve decision making. Opinion mining is a way of retrieving information via search engines, blogs, microblogs and social networks. Individual opinions are unique to each person, and Twitter tweets are an invaluable source of this type of data. However, the huge volume and unstructured nature of text/opinion data pose a challenge to analyzing the data efficiently. Accordingly, proficient algorithms/computational strategies are required for mining and condensing tweets as well as finding sentiment bearing words. Most existing computational methods/models/algorithms in the literature for identifying sentiments from such unstructured data rely on machine learning techniques with the bag-of-word approach as their basis. In this work, we use both unsupervised and supervised approaches on various datasets. Unsupervised approach is being used for the automatic identification of sentiment for tweets acquired from Twitter public domain. Different machine learning algorithms such as Multinomial Naive Bayes (MNB), Maximum Entropy and Support Vector Machines are applied for sentiment identification of tweets as well as to examine the effectiveness of various feature combinations. In our experiment on tweets, we achieve an accuracy of 80.68% using the proposed unsupervised approach, in comparison to the lexicon based approach (the latter gives an accuracy of 75.20%). In our experiments, the supervised approach where we combine unigram, bigram and Part-of-Speech as feature is efficient in finding emotion and sentiment of unstructured data. For short message services, using the unigram feature with MNB classifier allows us to achieve an accuracy of 67%.	[Rout, Jitendra Kumar; Dash, Amiya Kumar; Bakshi, Sambit; Jena, Sanjay Kumar] Natl Inst Technol, Dept Comp Sci, Rourkela 769008, Odisha, India; [Choo, Kim-Kwang Raymond; Williams, Karen L.] Univ Texas San Antonio, Dept Informat Syst & Cyber Secur, San Antonio, TX 78249 USA		Bakshi, S (corresponding author), Natl Inst Technol, Dept Comp Sci, Rourkela 769008, Odisha, India.	jitu2rout@gmail.com; raymond.choo@fulbrightmail.org; dash.amiyakumar@gmail.com; sambitbaksi@gmail.com; skjena@nitrkl.ac.in; karen.williams@utsa.edu	Bakshi, Sambit/I-5013-2018; Rout, Jitendra/ABB-9631-2021; Choo, Kim-Kwang Raymond/A-3634-2009	Bakshi, Sambit/0000-0002-6107-114X; Choo, Kim-Kwang Raymond/0000-0001-9208-5336	Information Security Education & Awareness Project (Phase II), Ministry of Electronics and Information Technology (MeitY), Government of India; Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) Program, Department of Science and Technology, Government of India [ETI/359/2014]	This research is partially supported by the following projects: (1) Information Security Education & Awareness Project (Phase II), Ministry of Electronics and Information Technology (MeitY), Government of India, and (2) Grant No. ETI/359/2014 by Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) Program 2016, Department of Science and Technology, Government of India.		40	51	52	9	129	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1389-5753	1572-9362		ELECTRON COMMER RES	Electron. Commer. Res.	MAR	2018	18	1			SI		181	199		10.1007/s10660-017-9257-8			19	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	FW4XJ	WOS:000425318600010					2022-03-30	
J	Schmitt, MC				Schmitt, Mary C.			"By Any Means Necessary" A Neoliberal Sound Byte? The Memory of Malcolm X in the 1990s CBS Documentary Malcolm X: The Real Story	BLACK CAMERA			English	Article								How is it possible for Malcolm X's famous call for justice and dignity "by any means necessary" to become a neoliberal sound byte for self-responsibility? What are the social, cultural, and economic conditions that demand a liberal refashioning of the history and memory of Malcolm X? What is at stake not only in the erasure of Malcolm X's radical message, but also in its deployment in the service of neoliberal policies and logic? This essay explores these questions through a close analysis of the 1992 CBS television documentary Malcolm X: The Real Story. To set the foundation for this analysis, I first explore the resurgence of Malcolm X's memory in the 1990s and the cultural, political, and economic conditions that shaped the era's discourse on race. To develop a radical lens through which to interpret the documentary, I relate racial capitalism, neoliberalism, and social movement history to the political contexts of the Reagan and Clinton administrations. In the final analysis, I closely examine rhetorical and visual devices to illustrate how the liberal rewriting of the CBS documentary operates. I mean to expose and critically analyze how white supremacist logic undergirds neoliberal forms of antiracism and to see the ways in which neoliberal logic contains and adulterates what we can think in terms of equality and justice. I also mean to disclose how presumably antiracist texts, such as the CBS documentary, under the terms and lexicon of neoliberalism, work to rationalize and justify the violence racial capitalism necessitates.(1)	[Schmitt, Mary C.] Univ Calif Irvine, Visual Studies Program, Irvine, CA 92697 USA		Schmitt, MC (corresponding author), Univ Calif Irvine, Visual Studies Program, Irvine, CA 92697 USA.							27	0	0	0	1	INDIANA UNIV PRESS	BLOOMINGTON	601 N MORTON STREET, BLOOMINGTON, IN 47404-3797 USA	1536-3155	1947-4237		BLACK CAMERA	Black Camera	SPR	2018	9	2					10	32		10.2979/blackcamera.9.2.03			23	Film, Radio, Television	Emerging Sources Citation Index (ESCI)	Film, Radio & Television	GJ1CF	WOS:000434990800005					2022-03-30	
J	O'Hara, L; Taylor, J; Barnes, M				O'Hara, Lily; Taylor, Jane; Barnes, Margaret			The invisibilization of health promotion in Australian public health initiatives	HEALTH PROMOTION INTERNATIONAL			English	Article						health promotion discourse; critical perspectives; evaluation methodology; health policy	OBESITY; EDUCATION; INEQUITIES; OVERWEIGHT; COUNTRIES; EPIDEMIC; ENGLAND	The field of health promotion has arguably shifted over the past thirty years from being socially proactive to biomedically defensive. In many countries this has been accompanied by a gradual decline, or in some cases the almost complete removal of health promotion designated positions within Government health departments. The language or discourse used to describe the practice and discipline of health promotion is reflective of such changes. In this study, critical discourse analysis was used to determine the representation of health promotion as a practice and a discipline within 10 Australian Government weight-related public health initiatives. The analysis revealed the invisibilization of critical health promotion in favour of an agenda described as 'preventive health'. This was achieved primarily through the textual practices of overlexicalization and lexical suppression. Excluding document titles, there were 437 uses of the terms health promotion, illness prevention, disease prevention, preventive health, preventative health in the documents analysed. The term 'health promotion' was used sparingly (16% of total terms), and in many instances was coupled with the term 'illness prevention'. Conversely, the terms 'preventive health' and 'preventative health' were used extensively, and primarily used alone. The progressive invisibilization of critical health promotion has implications for the perceptions and practice of those identifying as health promotion professionals and for people with whom we work to address the social and structural determinants of health and wellbeing. Language matters, and the language and intent of critical health promotion will struggle to survive if its speakers are professionally unidentifiable or invisible.	[O'Hara, Lily] Emirates Coll Adv Educ, Abu Dhabi, U Arab Emirates; [Taylor, Jane; Barnes, Margaret] Univ Sunshine Coast, Sippy Downs, Qld 4556, Australia		O'Hara, L (corresponding author), Emirates Coll Adv Educ, Abu Dhabi, U Arab Emirates.	lilyohara@ecae.ac.ae	O'Hara, Lily/AAM-6605-2020; O'Hara, Lily/AAB-1118-2019; Taylor, Jane/I-5034-2015	O'Hara, Lily/0000-0003-3000-7863; Taylor, Jane/0000-0002-4127-3625				54	2	2	0	4	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0957-4824	1460-2245		HEALTH PROMOT INT	Health Promot. Int.	FEB	2018	33	1					49	59		10.1093/heapro/daw051			11	Health Policy & Services; Public, Environmental & Occupational Health	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Health Care Sciences & Services; Public, Environmental & Occupational Health	FV9RN	WOS:000424926100005	27436410	Green Published			2022-03-30	
J	Wei-dong, H; Qian, W; Jie, C				Wei-dong, H.; Qian, W.; Jie, C.			Tracing Public Opinion Propagation and Emotional Evolution Based on Public Emergencies in Social Networks	INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL			English	Article						opinion mining; the public opinion propagation; semantic classes; machine learning	STRUCTURAL BREAKS; VOLATILITY; BEHAVIOR; LEADERS; MODEL; OIL	Social network has become the main communication platform for public emergencies, and it has also made the public opinion influence spread more widely. How to effectively obtain public opinions from it to guide the healthy development of the society is an important issue that the government and other functional departments are concerned about. However, the interaction and evolution mechanism between the subject and the environment in the public opinion propagation is complicated, and the public and media attention and reaction to the incident are closely linked with the progress of the incident disposal. And public mining corpus has some shortcomings in the distribution of emotional classification. Only the timely update of artificial rules and emotional dictionary resources, it can handle new text data well. In fact, from the perspective of public opinion propagation, this paper built the network matrix between Internet users through the forwarding relationship, and used the social network analysis method and the emotion mining analysis technology to study the interaction and evolution mechanism between the subject and the environment in the public opinion propagation, and it studied the role of users in the emotional propagation of social networks. This paper proposed a sentiment analysis method on the micro-blog platform, which expanded the emotional dictionary and took sentence and emoticon and sentence patterns into account, which improved the accuracy of positive and negative classifications and emotional polarity analysis of the micro-blog.	[Wei-dong, H.; Qian, W.] Nanjing Univ Posts & Telecommun, Nanjing, Jiangsu, Peoples R China; [Jie, C.] Nanjing Univ Informat Sci & Technol, Nanjing, Jiangsu, Peoples R China		Wei-dong, H (corresponding author), Nanjing Univ Posts & Telecommun, Nanjing, Jiangsu, Peoples R China.	huangwd@njupt.edu.cn; 18262621679@163.com; cj@amss.ac.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [71671093]; National Natural Social Foundation of China [16ZDA054]	Work described in this paper was funded by the National Natural Science Foundation of China under Grant No. 71671093 and the National Natural Social Foundation of China under Grant No. 16ZDA054. The authors would like to thank other researchers at Nanjing University of Posts and Telecommunications.		23	8	9	31	188	CCC PUBL-AGORA UNIV	BIHOR	PIATA TINERETULUI 8, ORADEA, JUD, BIHOR, 410526, ROMANIA	1841-9836	1841-9844		INT J COMPUT COMMUN	Int. J. Comput. Commun. Control	FEB	2018	13	1					129	142		10.15837/ijccc.2018.1.3176			14	Automation & Control Systems; Computer Science, Information Systems	Science Citation Index Expanded (SCI-EXPANDED)	Automation & Control Systems; Computer Science	FX2MR	WOS:000425895400010		Green Submitted, gold			2022-03-30	
C	Alnajran, NN; Crockett, KA; McLean, D; Latham, A		Salem, A; Abbas, HM; Elkharashi, MW; Eldin, AMB; Taher, M; Zaki, AM		Alnajran, Noufa N.; Crockett, Keeley A.; McLean, David; Latham, Annabel			A Word Embedding Model Learned from Political Tweets	PROCEEDINGS OF 2018 13TH INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND SYSTEMS (ICCES)			English	Proceedings Paper	13th International Conference on Computer Engineering and Systems (ICCES)	DEC 18-19, 2018	Cairo, EGYPT	IEEE, Egyptian Knowledge Bank, Ain Shams Univ, IEEE Egypt Sect		Word Embedding; Language Modelling; Deep Learning; Social Network Analysis; Twitter Analysis		Distributed word representations have recently contributed to significant improvements in many natural language processing (NLP) tasks. Distributional semantics have become amongst the important trends in machine learning (ML) applications. Word embeddings are distributed representations of words that learn semantic relationships from a large corpus of text. In the social context, the distributed representation of a word is likely to be different from general text word embeddings. This is relatively due to the unique lexical semantic features and morphological structure of social media text such as tweets, which implies different word vector representations. In this paper, we collect and present a political social dataset that consists of over four million English tweets. An artificial neural network (NN) is trained to learn word co -occurrence and generate word vectors from the political corpus of tweets. The model is 136MB and includes word representations for a vocabulary of over 86K unique words and phrases. The learned model shall contribute to the success of many ML and NLP applications in microblogging Social Network Analysis (OSN), such as semantic similarity and cluster analysis tasks.	[Alnajran, Noufa N.; Crockett, Keeley A.; McLean, David; Latham, Annabel] Manchester Metropolitan Univ, Dept Comp Math & Digital Technol, Manchester, Lancs, England		Alnajran, NN (corresponding author), Manchester Metropolitan Univ, Dept Comp Math & Digital Technol, Manchester, Lancs, England.	Noufa.alnajran@stu.mmu.ac.uk; k.crockett@mmu.ac.uk; d.mclean@mmu.ac.uk; a.latham@mmu.ac.uk	Latham, Annabel/I-4838-2019	Latham, Annabel/0000-0002-8410-7950				22	2	2	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-5111-7				2018							177	183					7	Computer Science, Information Systems; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BM5YY	WOS:000465792300032					2022-03-30	
J	Alvarez-Muro, A				Alvarez-Muro, Alexandra			Currency Counterfeiting in Los Andes. An Analysis on Clara Cardenas's Trial	LENGUA Y HABLA			Spanish	Article						ethnographic analysis; currency counterfeiting; 19th century; Merida; Venezuela		This study deals with an analysis of documents around a trial on counterfeit currency that was held in the 19th century, in Merida, Venezuela. Currency counterfeiting is a crime against the State that is severely punished. Two Colombian citizens denounced each other as counterfeiters. Two different stories are opposed during the trial: the prosecution, brought by Jose Maria Rojas and the government, and the defense, brought by Clara Cardenas. As a result, Cardenas was condemned but later she was released due to illness. However, there is an untold history between Clara and Jose Maria that raises suspicions. Ethnographic methodology was used on the texts to study lexical units and communication events. It also helps to understand values and beliefs from the 19th-century society.	[Alvarez-Muro, Alexandra] Univ Los Andes, Dept Linguist, Merida, Venezuela		Alvarez-Muro, A (corresponding author), Univ Los Andes, Dept Linguist, Merida, Venezuela.	alvarezmuro@gmail.com						25	0	0	0	0	UNIV LOS ANDES	MERIDA	AVE 1 HOYADA DE MILLA 1-40, MERIDA, 5101, VENEZUELA	2244-811X			LENG HABL	Leng. Hab.	JAN-DEC	2018	22						76	100					25	Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	GU1QC	WOS:000445039600005					2022-03-30	
J	Athira, U; Thampi, SM				Athira, U.; Thampi, Sabu M.			An author-specific-model-based authorship analysis using psycholinguistic aspects and style word patterns	JOURNAL OF INTELLIGENT & FUZZY SYSTEMS			English	Article; Proceedings Paper	3rd International Symposium on Signal Processing and Intelligent Recognition Systems (SIRS)	SEP 13-16, 2017	Manipal Univ, Manipal Inst Technol, Manipal, INDIA	Liverpool John Moores Univ	Manipal Univ, Manipal Inst Technol	Authorship attribution; computational linguistics; cyber forensics; psycholinguistic features; topic modelling; stylometry; ensembled learning	LANGUAGE USE; ATTRIBUTION	Illegal cyber activities can be curbed by means of authorship analysis which intends to identify the authors of a document by scrutinizing the writing style involved in it. One of the major threats associated with online media is the propagation of false statements on behalf of celebrities with the aim of tarnishing their public image especially as a part of online political campaigns. The scenario calls for the need of analyzing the authorship of documents with less contents and capturing the author style from among a large number of candidate authors belonging to the same domain. This is a less explored area of authorship analysis as the task is challenging because traditional methods fail to acquire accuracy when the contents of different authors are pertaining to same topic. Here we propose a method that accomplishes the task of analysis in such an environment, by employing psycholinguistic, lexical, and syntactic aspects of an author combined with word co-occurrences obtained by modeling the style word pattern of the text. The method identifies an author's individualistic form of expression of emotional aspects, sociolinguistic aspects and word co-occurrences, to obtain an author-style pattern for each candidate author. An author-specific model is generated. The questioned document is fed into the different models so formed, and the final decision regarding the authorship is made based on the ensembled learning method. The experimental results of the proposed method has secured a precision of 0.98 in best case and 0.45 in worst case, thereby illustrating an improvement in the accuracy of authorship attribution of short texts, in comparison with the existing methods.	[Athira, U.; Thampi, Sabu M.] Univ Kerala, Indian Inst Informat Technol & Management Kerala, Thiruvananthapuram, Kerala, India		Athira, U (corresponding author), Univ Kerala, Indian Inst Informat Technol & Management Kerala, Thiruvananthapuram, Kerala, India.	athira.res@iiitmk.ac.in	Thampi, Sabu/O-2118-2019	Thampi, Sabu/0000-0001-6453-5520				31	1	1	0	8	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	1064-1246	1875-8967		J INTELL FUZZY SYST	J. Intell. Fuzzy Syst.		2018	34	3					1453	1466		10.3233/JIFS-169441			14	Computer Science, Artificial Intelligence	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	GA4SQ	WOS:000428322500022					2022-03-30	
C	Aye, YM; Aung, SS		Soliman, KS		Aye, Yu Mon; Aung, Sint Sint			Subjectivity Analysis of Restaurants Reviews in Myanmar Language	VISION 2020: SUSTAINABLE ECONOMIC DEVELOPMENT AND APPLICATION OF INNOVATION MANAGEMENT			English	Proceedings Paper	32nd Conference of the International-Business-Information-Management-Association (IBIMA)	NOV 15-16, 2018	Seville, SPAIN	Int Business Informat Management Assoc		Senti-Lexicon; Subjectivity Analysis; Sentiment Analysis; Lexicon-based; Natural language processing; Myanmar Language	SENTIMENT ANALYSIS	Internet users are rapid increase in online review sites. Customer's reviews and comments on the web are an important information source. Therefore, knowing about these comments and reviews with their opinions is important for quality control to the business management. Opinions contain positive and negative opinions which containing likes and dislikes public generated content about products, services and politics. Subjectivity analysis is to state the feelings, opinions about people's reviews together with sentiment. Most of researchers develop subjectivity and sentiment classification about English Language. There are no any resources for Myanmar language of subjectivity/sentiment analysis. To overcome this problem, this paper proposed subjectivity/sentiment analysis of Myanmar language for formal and informal restaurant reviews by using the lexicon based sentiment analysis. This research evaluates the challenges and language problem faced in subjectivity analysis of Myanmar text area for future.	[Aye, Yu Mon; Aung, Sint Sint] Univ Comp Studies Mandalay, Mandalay, Mandalay, Myanmar		Aye, YM (corresponding author), Univ Comp Studies Mandalay, Mandalay, Mandalay, Myanmar.	yumonaye.yu@gmail.com; ssaung@gmail.com						15	0	0	0	0	INT BUSINESS INFORMATION MANAGEMENT ASSOC-IBIMA	NORRISTOWN	34 E GERMANTOWN PIKE, NO. 327, NORRISTOWN, PA 19401 USA			978-0-9998551-1-9				2018							76	87					12	Business; Economics	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Business & Economics	BO2TA	WOS:000508553200007					2022-03-30	
C	Aziz, MN; Firmanto, A; Fajrin, AM; Ginardi, RVH		Facta, M; Riyadi, MA; Widianto, ED; Arfan, M		Aziz, Moh Nasrul; Firmanto, Ari; Fajrin, A. Miftah; Ginardi, R. V. Hari			Sentiment Analysis and Topic Modelling for Identification of Government Service Satisfaction	2018 5TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY, COMPUTER, AND ELECTRICAL ENGINEERING (ICITACEE)			English	Proceedings Paper	5th International Conference on Information Technology, Computer, and Electrical Engineering (ICITACEE)	SEP 27-28, 2018	Diponegoro Univ, Engn Fac, Elect Engn Dept, Semarang, INDONESIA	IEEE, IEEE Indonesia Sect, Diponegoro Univ, Engn Fac, Comp Engn Dept, Diponegoro Univ, Dept Elect Engn	Diponegoro Univ, Engn Fac, Elect Engn Dept	text mining; sentiment analysis; opinion mining; big data analysis; lexicon based; machine learning; topic modeling; lda		The era of information disclosure and social media tends to make people express their opinions on social media. Indonesia is one of the top five nations social media users in general, especially Twitter. This becomes an interesting thing when trying to see public opinion on a government service. Opinion mining can be used to get information from textual twitter to be processed into an information by classifying existing information into positive information classes and negative information classes. In this research, we try to do opinion mining on public opinion about Identification card (KTP) service in Surabaya city. We compare between supervised and unsupervised methods to see their performance for each classifier. In unsupervised the sentiwordnet approach is used to classify between negative and positive opinions. Supervised Support Vector Machine (SVM) method is used to create a classification model to define an opinion. Before the data is classified, preprocessing steps are used to make the data better. In addition, the Latent Dirichlet Allocation (LDA) approach is used to see for topics that tend to be strong which affects a negative or positive opinion. The result of the classification model by using SVM achieved accuracy rate of 75%.	[Aziz, Moh Nasrul; Firmanto, Ari; Fajrin, A. Miftah; Ginardi, R. V. Hari] Inst Teknol Sepuluh Nopember, Dept Informat, Surabaya 60111, Indonesia		Aziz, MN (corresponding author), Inst Teknol Sepuluh Nopember, Dept Informat, Surabaya 60111, Indonesia.	nasrul.17051@mhs.its.ac.id; ari.17051@mhs.its.ac.id; miftah.17051@mhs.its.ac.id; hari@its.ac.id	Ginardi, R.V. Hari/AAC-9017-2021	Ginardi, R V Hari/0000-0002-6996-8859				19	1	1	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-5529-0				2018							125	130					6	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BL9JB	WOS:000457570300023					2022-03-30	
C	Baider, F		Neveu, F; Harmegnies, B; Hriba, L; Prevost, S		Baider, Fabienne			Moreover, and elsewhere: linguistic markers of textual "rupture" or markers of argumentative continuation?	6E CONGRES MONDIAL DE LINGUISTIQUE FRANCAISE	SHS Web of Conferences		French	Proceedings Paper	6th World Congress of French Linguistics	JUL 09-13, 2018	Univ Mons, Mons, BELGIUM		Univ Mons			This article sets out to study contrastively the adverbial clauses d'ailleurs andpar ailleurs in oral and written data. Indeed, previous studies restricted to spoken political discourse had established the following conclusions: 1. D'ailleurs was used in the exegesis of key political arguments; 2. It plays a crucial role in managing the speaking turns; 3. par ailleurs was absent from these spoken data. The present study incorporates these previous observations and compares them with results obtained by working on written corpora and casual recorded conversations. These data enable us to study and contrast the cohesion and coherence functions of both d'ailleurs and par ailleurs which which are described in lexicographic sources as having very similar functions. Our conclusions include a much higher frequency of par ailleurs in written and more formal discourse and confirm the presence d'ailleurs in casual conversations. The study suggests as well similar cohesive functions such as introduction of a new rheme, however in a different fashion: d'ailleurs works works within an argumentative linearity while par ailleurs within an argumentative split. Our corpus consists of spoken data (43,000 words of political interviews and 25,000 words of casual conversation) and written data (more than one million words of journalistic articles gathered for a previous study). Our methodology includes corpus linguistics and our analysis is anchored within the theoretical framework of systemic functional linguistics (Halliday and Matthiessen 2004, inter alia).	[Baider, Fabienne] Univ Cyprus, Dept French & European Studies, CY-1678 Nicosie, Cyprus		Baider, F (corresponding author), Univ Cyprus, Dept French & European Studies, CY-1678 Nicosie, Cyprus.							20	1	1	0	0	E D P SCIENCES	CEDEX A	17 AVE DU HOGGAR PARC D ACTIVITES COUTABOEUF BP 112, F-91944 CEDEX A, FRANCE	2261-2424			SHS WEB CONF			2018	46								01006	10.1051/shsconf/20184601006			14	Language & Linguistics	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Linguistics	BL7WX	WOS:000455731500006		Green Published, gold			2022-03-30	
