Zeitstempel;This is the title of the Study;These are the Authors;"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well";If no: Why is the study out of scope?;What is the data source? ;What is the data language?;If others: Name all languages in the data? If there is more than one language assessed, please separate languages by a comma (,);"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)";What Type(s) of method are initially applied? ;What is the name of the method? If there is more than one method applied, please separate methods by a comma (,);What is the outcome of the method?;Do you have any comments on the study design? ;If yes: What are your comments on the study design?;Are steps of validation reported? ;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field, so that the whole validation procedure is copied! ";"What step of validation exercises is reported? 
Please report the brief description by the authors (e.g., in the abstract, in the introduction, or at the beginning of the method/validation section). This can also include just a term (e.g. face validity), but should not be longer than one sentence.
";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";"What type of Validation exercise does this refers to? 
For a detailed discussion on the different categories, please refer to the Coding Manual";Is there another validation step reported in the paper?;"In what paragraphs is the step of validation / robustness checks / […] reported? 
Please copy the paragraph/description into the open field!";"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;;Is there another validation step reported in the paper?;In what paragraphs are issues of measurement validity / robustness checks / […] reported? Please copy them into the open field! ;"What step of validation exercises is reported? 
(As described by the authors)";What type of Validation exercise does this refers to? ;Is there another validation step reported in the paper?;Is there a link to an Appendix/additional Materials/GitHub repository? ;"
Is the data for the analysis accessible? ";Is the code for the analysis accessible?;Any Comments on Open Science Standards?;E-Mail-Adresse
12.09.2022 15:17:36;Role-based Association of Verbs, Actions, and Sentiments with Entities in Political Discourse;"Fogel-Dror, Yair; Shenhav, Shaul R.; Sheafer, Tamir; Van Atteveldt, Wouter";Yes, Continue with Coding;;Newspaper;English;;sentiment oriented sentiment analysis;Supervised: Part of Speech Tagging;Lexicoder Sentiment Dictionary, role-based association method;;No;;Yes;"We initially reviewed the results on a timeline by aggregating the sentiment scores (per entity, per article) by summing them per day. While reviewing the entity-oriented sentiment timeline separately for Israel and the PA, observations with high levels of negative sentiment scores for both entities were correlated with the two main violent events in this period —“Operation Protective Edge” in the Gaza strip (July-August 2014), and the Temple Mount/Al-Aqsa Mosque clashes (October 2015). Please refer to Figure 1 (the graph for the 10-word proximity method is practically identical to the graph created by the sentence proximity method). These results might seem promising at first, as negative sentiment is expected to be attributed to rival entities in violent events. However, when placed side by side at the daily level (Figure 1), the sentiment–entity timeline of Israel and the PA looked fairly symmetrical. Assigning a negative sentiment to both entities may be a reasonable finding, as both participated in the violent events; yet, the level of symmetry still raises a concern. Is it really the case that the media is so balanced in terms of negative sentiment toward both actors, or is this a problem of discriminant validity (Adcock & Collier, 2001)? If the latter is true, this means that instead of measuring the specific sentiment that was supposed to be associated with each entity, we measured the volume of sentiment expressed in the text in general. If this is true, we actually measured the textual sentiment surrounding the entities but not the sentiment attributed to them.";face validation;Content Validation;Yes;to test our concern, we measured the correlation between sentiment scores that were assigned to the two entities in each sentiment category—positive and negative. The results pointed at a strong correlation for negative sentiment (Pearson’s r > .74) and moderate correlations for positive sentiment (r > .50). To further test whether the scores measured the number of sentiment expressions instead of the sentiment assigned to each entity, we measured the correlations between the volume of sentiment expressions (positive/negative) for each entity and the total sentiment score (positive/negative). The results here pointed to the same validity-related concerns, as we found moderate-to-strong correlations for negative sentiments and positive sentiments for both entities (r > .76 and r > .42, respectively). All correlations were significant (p < .05). This means that these proximity methods of association do not clearly differentiate among the general sentiments expressed in the text and the sentiments intended to be associated with each entity.;comparison with Model estimates with two unassociated sentiment scores;External: Scores from other CATM;Yes;Two trained human coders classified each sentiment verb expression as associated with Israel, the PA, neither, or both (Krippendorf’s α = .8). Differences between coders were discussed to form a gold standard that was used to train and test the algorithm. At this point, for every verb, the dataset contained the gold standard and the four features. We split the dataset into a training set (60%), to be used by the learning version, and a test set (40%), and created two versions of the RBA method: rule-based and learning. The rule-based version was easier to implement and did not need the addition of manually coded examples to train the algorithm. It had two rules: (1) If the verb is active, associate the sentiment measured in the verb with entities found in the subject, and otherwise with entities found in the predicate. (2) If the verb is a direct referencing verb, reverse the association. To improve the accuracy of the method by fine-tuning the weights of the features inductively and allowing for further expansion of the method, we created a version of the method that replaces the two a priori rules with a learning algorithm. To this end, we used a Python implementation of a support vector machine with a linear kernel (Pedregosa et al., 2011). The algorithm was trained on the training set (N = 615 verbs).;Human annotated test set;External: Human Annotated Scores;Yes;"As a remedy, we focused the manual validation on measuring negative sentiment only, following researchers who have found negativity to be clearer to measure (Haselmayer & Jenny, 2017; Soroka et al., 2015). We also instructed human coders to follow the perspective and assumptions of the lexicon. For example, as the sentiment lexicon did not assign different values to different expressions, we only measured the quantity of sentiments, and not their quality (e.g., murdering a person and injuring a person had similar negative weights). Two human coders were trained to code articles for sentiments expressed toward each entity—Israel and the PA on a three-level scale: 0 (no negative sentiment), 1 (low level of negative sentiment), and 2 (high level of negative sentiment—see the full coding instructions in Section C in the online Appendix). As we were interested in the bias toward one entity compared with that toward the other, we calculated the value of delta between the negative sentiments associated with Israel and the PA. The result was a five-point scale of negativity measure that spanned from −2 (PA was represented more negatively) to + 2 (Israel was represented more negatively). Intercoder reliability was no lower than Krippendorf’s α = .71.

Moving to the validation of the association method, this analysis provides further support for our main concerns regarding proximity-based approaches and supports our alternative method. First, we found support for our claim regarding discriminant validation, as 39% of all articles were scored with a non-zero negativity score, which means that sentiments associated with both entities were asymmetrical. This finding was even more convincing when articles containing no negative sentiment toward any entity were eliminated. From the remaining articles, 72% received a non-zero negativity score. Second, results at the week level show that while the two proximity methods of association (sentence and 10-word) were not significantly correlated with the manual analysis (in fact, the correlation was negative), the RBA method was positively and significantly correlated with it (Spearman’s ρ = .26, p < .05). Although modest (maybe because of the RBA’s focus on associations of verbs), this correlation supports the validity of the RBA method compared with the other two proximity methods of association considered. These findings show that associations formed by the RBA method are considerably more accurate at the expression level and more valid at the document level than those made by proximity methods.";Manual Validation to test for discriminant validity (using hand-coded data, but the goal here is to evaluate discriminant validity between their method and other methods);Content Validation;No;;;;;;;;;;No;;;;lukas.birkenmaier@outlook.de
12.09.2022 15:47:27;A General Model of Author “Style” with Application to the UK House of Commons, 1935–2018;"Huang, Leslie; Perry, Patrick O.; Spirling, Arthur";Yes, Continue with Coding;;Politics: Parliamentary Records;English;;distinctiveness in speech;Unsupervised: Statistical Model based on Word Frequencies;not named;;No;;Yes;One basic requirement is that our method ought to label “intrusive” texts, i.e. ones that were not clearly produced by the parliamentary data generating process, as distinctive. To put this to the test, we took the set of backbenchers from a modern session (2015–2016) added to them the State of the Union speeches given by U.S. President Barack Obama. We randomly sampled n “speeches” of m sentences each from the SotU speeches, where n is the mean speeches per MP and m is the mean speech length in sentences for the 2015 session. Aer inserting Obama in the corpus, we select the vocabulary using our standard cross-validation procedure. We used Obama because although his works are approximately contemporaneous with our data, his style is distinctive relative to our MPs: they come from an American rather than British political system, and they are long oratories consumed by the general public rather than speeches directed primarily at other politicians. With that in mind, our model should identify Obama as easily the most distinctive author. As we see from Figure 1, this is indeed the case: Obama’s ƒt point estimate is by far the largest in the data and appears at the far top right. Its confidence interval does not overlap with any other MP in the distribution (note that we do not include every MP in the graphic due to limited space, but we do include the full range in terms of distinctiveness estimates). Of course, such a test might be cherry-picking, and there is no obvious baseline for performance (other than identifying the intruder).7 So we now turn to a domain-specific assessment.;Intrusion of outlier speeches;Content Validation;Yes;"For more substantive performance evaluation, we look at the “most distinctive” and “least distinctive” backbench MPs for the parliamentary sessions on either side of Blair’s election landslide in 1997 (that is, 1995–1996 and 1998–1999). This has the advantage of being a period in which (a) control of the Commons switched (from Conservative to Labour), meaning we have variation in the party of the backbenchers, and (b) there are academic accounts which help ground our understanding of MPs at this time (Cowley 2002; Spirling and Quinn 2010; Kellermann 2012). In terms of measurement, we use a convergent validity approach: we compare our measure to another (computed independently) and show that they are related as expected.

To see how we proceed in practice, note that for each MP t , in each session, we have an estimate of their distinctiveness in log-odds terms: our ƒ, above. For current purposes, however, we focus on something related but more concrete and directly interpretable: the proportion of their speeches which are correctly predicted as being from them relative to all other MPs (proportion of speeches correctly predicted, or “PCP,” in the tables below). We use fivefold cross-validation to fit a model to texts from a given session, predict the speakers of held-out texts using this model, and calculate each speaker’s rate of correct predictions; we report each speaker’s mean PCP. To validate these estimates, we consider their extrema—their minimums and maximums. In the subsection tables below, we list the twenty names of the MPs who were most distinct and least distinct by this measure (subject to having made a minimum of twenty speeches). We do this for the two sessions in question: one in 1995–1996 and one in 1998–1999. We also list the number of mentions of each MP in the Times newspaper archives (via Gale Group Digital Archive) for the same period, specifically the “Politics and Parliament” subsection of the “News.”";criterion validity (even tough they claim it to be convergent validity, but the comparison is with MP mentions in the TIME newspaper and thus an external criterion);External: Criterion data / Predictive validation;Yes;More substantively, we note the presence of several Labour “rebels” among the most distinct. These include Tony Benn, Diane Abbott, John McDonnell, Roger Berry, and Tam Dalyell, all of whom consistently voted against the Labour government’s plan to reform the welfare state.8 Peter Temple-Morris was a party switcher, and “interesting” for that reason—he was elected as a Tory MP in 1997, but then crossed the floor to Labour the same year. The most interesting MPs here include Stuart Bell, who was the Church Estates Commissioner, meaning that he was one of the managers of the Church of England’s property. David Hinchliffe, chairman of the Select Committee on Health, was subsequently extremely critical of the Blair government’s proposed reforms to the National;face validity of most extreme MPs;Content Validation;Yes;"Finally, with respect to a broader understanding of validity, we ask what exactly we are capturing as “distinctiveness” in our measure? As regards our comments at the opening of Section 2, is it mere “phrasing” (different ways of saying the same thing) or “substance” (saying something different)? Put more directly with respect to the extant literature, does our model “improve” (in fit terms at least) over the original Mosteller and Wallace (1963) approach and capture something more than function word usage?

To assess this, we conducted a simple experiment. We ran a special case of the estimation using only the seventy function words (i.e. stop words) from the original Mosteller and Wallace (1963) study. Our contention is that if our model is simply capturing idiosyncratic stylistic differences (in the narrow sense meant in that earlier literature), the restricted version should perform approximately as well as the more general one that uses all words in the vocabulary. Studying Figure 2, we see this is clearly false: there, the bottom line with triangle points is the mean prediction rate (for each speaker, with fivefold cross-validation) from the stop word model. The top line is the mean prediction rate from our model, which has no restrictions on stop words (as in the rest of this paper). It performs about three to five times as well as the pure phrasing model, on average. This implies that there is certainly something more than expressive manner going on: we happily refer to that residual variation as “substance.” This does not mean, of course, that the Mosteller and Wallace (1963) approach vocabulary is “wrong” (it is just a special case of ours), but it does suggest our model is doing something statistically useful in terms of capturing practical variation between contemporaneous MPs. Why do we see this performance difference? From inspection, we note that the fit improvement comes mostly from the middle of the distribution (that is, both our approach and the more simple one perform similarly for the most and least distinctive MPs but not for the median and mean—at least for the sessions we looked at in detail). We suspect this is because while almost everyone will have non-zero use of all of the Mosteller and Wallace (1963) words, our richer vocabulary has much higher variance in use. At the top of the distribution—MPs who are distinctive whatever the vocabulary—this makes no difference. Conversely, at the bottom of the distribution—MPs who use neither vocabulary very much—this also makes no difference. But for MPs in the middle, our much larger vocabulary offers more opportunities to distinguish oneself (for a fixed amount of speaking), and, thus, our model does better for these people. Before moving to the results, we note that readers may be qualitatively interested in the underlying tokens that affect distinctiveness of individuals in the model: in Appendix C, we discuss how these might be obtained and examined.";Evaluation of Model Outputs with small subset of data (only stopwords) to test model features;Content Validation;No;;;;;;;;;;Yes;No;No;;lukas.birkenmaier@outlook.de
13.09.2022 12:01:23;Strategy Framing in News Coverage and Electoral Success: An Analysis of Topic Model Networks Approach;"Walter, Dror; Ophir, Yotam";Yes, Continue with Coding;;Newspaper;English;;Strategy Framing;Unsupervised: Topic Modeling;Analysis of Topic Model Network (ANTMN);;Yes;"Strategy frames focus on candidates’ standing in polls (using horse race metaphors), their motivations, performance, character, and style. Issue frames focus on candidates’ record and opinions on policies. Media emphasis of strategy at the expense of issue frames (Aalberg et al., 2012; Patterson, 1994) was found to yield cynicism toward the political process (Cappella & Jamieson, 1997) and the media (Hopmann et al., 2015) and to decrease political knowledge (Cappella & Jamieson, 1997).";Yes;"The strategy and issue estimation per document were further validated using manual content analysis of 150 articles by two independent trained coders (not the authors; Krippendorff’s α = .85). As coders used the common five-level strategy issue scale (Aalberg et al., 2012) and our estimation was a continues 0–100 scale (the percentage of the language that related to strategyoriented topics), we used Pearson’s correlation to examine the similarity between the two scales at the article level. Results showed high agreement between the manual coders and the auto mated estimations (r = 0.81, p < .001; see Appendix 2 for detail).";Human annotation;External: Human Annotated Scores;No;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;;lukas.birkenmaier@outlook.de
14.09.2022 15:25:26;Reading Between the Lines: Prediction of Political Violence Using Newspaper Text;"Mueller, Hannes; Rauh, Christopher";Yes, Continue with Coding;;Newspaper;English;;Topics;Unsupervised: Topic Modeling;LDA;;Yes;identifies topics and uses these in later analysis;No;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;No;;lukas.birkenmaier@outlook.de
15.09.2022 10:03:50;Clickbait for climate change: comparing emotions in headlines and full-texts and their engagement;"Xu, Zhan; Laffidy, Mary; Ellis, Lauren";Yes, Continue with Coding;;Newspaper;English;;Emotions;Rule-based: Off-the-shelf dictionary;NRC Emotion Lexicon;;No;;Yes;Dictionary has demonstrated high validity when examining short texts such as tweets and SMS (Kiritchenko et al., 2014) as well as long texts such as novels (Mohammad, 2012). NRC NRC Emotion Lexicon identifies the intensity level that each word and phrase is associated with positively- or negatively- valenced emotions and eight discrete emotions including anger, anticipation, disgust, fear, joy, sadness, surprise, and trust (S. M. Mohammad & Turney, 2010);reference to previous validation evidence;Content Validation;No;;;;;;;;;;;;;;;;;;;;;;No;;;;lukas.birkenmaier@outlook.de
15.09.2022 10:33:55;Ideological Scaling of Social Media Users: A Dynamic Lexicon Approach;"Temporão, Mickael; Vande Kerckhove, Corentin; van der Linden, Clifton; Dufresne, Yannick; Hendrickx, Julien M.";Yes, Continue with Coding;;Social Media: Twitter;Others;English, French;Ideological Position;Unsupervised: Text Scaling;dynamic lexicon approach;;No;;Yes;"We begin with a focus on the face validity (Dinas and Gemenis 2010) of the estimates produced by the dynamic lexicon approach, drawing on an overview of the ideological landscapes in each of our three case studies. Our objective is to develop an intuitive rendering of the ideological positioning of the major parties in each case, so that we have a frame of reference by which to compare the estimates generated by the dynamic lexicon approach
";face validity;Content Validation;Yes;"We then test the convergent validity of the calibration process for the dynamic lexicon of political terms. Here we focus on the subset of political candidates, whose user-generated content defines the dynamic lexicon, by comparing the positions derived from this approach to an ideological scaling approach based on network information (Barberá 2015; Bond and Messing 2015)";comparing it with network analysis (so other method, but not CATM);Unsure;Yes;"Finally, we extend this approach to individual citizens in our sample and compare their estimated positions to a reference position derived from survey data collected from Vote Compass

""Having demonstrated that the dynamic lexicon approach can derive valid ideological dimensions from the content that political elites generate on social media, and that it can position those political elites in ideological space in ways that correlated highly with more established methods, we now examine its ability to classify the individual ideologies of the broader population of social media users. To do so, we compare the dynamic lexicon approach to a basic Wordfish approach, in which we ignore the precomputed values and instead simply apply the algorithm. Two different baseline strategies are proposed, depending on whether or not we consider the use of a lexicon of political terms to create the TDM for citizens. In the first strategy (Wordfish-all), users’ TDM is generated keeping all the N -grams (i.e., following the same building process as for elites’ TDM Z elit). The second strategy (Wordfish-political) considers the adapted TDM Z cit built from the dynamic lexicon of political terms. The reference ideological position for each users is derived from the survey data collected by Vote Compass.6 We use an expectation–maximization algorithm to solve the maximum likelihood problem that generates these estimates (Barber 2012). We consider a social media extraction to be effective if two social media users with similar ideologies according to the Vote Compass survey data are also situated in close ideological proximity to one another using the dynamic lexicon approach. The quality of estimates is then defined as the Pearson correlation coefficient (ρ) between the vector of textual estimates and the vector of reference ideologies.""";Criterion validity with survey scores;External: Criterion data / Predictive validation;No;;;;;;;;;;;;;;Yes;Yes;Yes;;lukas.birkenmaier@outlook.de
15.09.2022 10:39:51;Facebook affordances and citizen engagement during elections: European political parties and their benefit from online strategies?;"Koc-Michalska, Karolina; Lilleker, Darren G.; Michalski, Tomasz; Gibson, Rachel; Zajac, Jan M.";No;"only ""descriptive"" analysis of texts (word lenght, timing of posting etc.)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lukas.birkenmaier@outlook.de
20.09.2022 21:56:54;Policy Diffusion: The Issue-Definition Stage;"Gilardi, Fabrizio; Shipan Charles R.; Wüest, Bruno";Yes, Continue with Coding;;Newspaper;English;;policy diffusion, policy frames;Unsupervised: Topic Modeling;Structural topic model (STM);;No;;Yes;"We validate the output of the model by considering some correlations that help us to assess the plausibility of our results. First, we consider how topics correlate with the timing of smoking ban adoptions at the state level. Figure C5 below shows that the topic State legislation is much more prevalent during months in which state legislation was adopted than in other months, which, of course, is exactly what one would expect. Second, Figure C6 looks at the prevalence of topics before and after adoption. This figure shows peaks for several of our topics at the moments one would expect them to be most prominent: State legislation and Electoral politics during the month of adoption, and Enforcement in the first couple of years following policy adoption. 7 Third, we find greater attention to the electoral implication of adoptions in states where restrictions on smoking are more likely to be politically controversial. In particular, we would expect to find the Electoral politics topic to be more common in states where more people smoke, in more politically conservative states, and in states that are under Republican control. Figure C7 shows support for these expectations.
Finally, as we mention in the text, we also coded the sentiment of each topic—that is, whether the newspaper paragraph exhibited a “pro” smoking bans approach (i.e., a positive sentiment toward such bans and restrictions) or an “anti” smoking bans approach (i.e., a negative sentiment). Examining the sentiment for each topic allows us to further validate our measure. In particular, we would expect the Health topic to have the most positive sentiments, indicating that when this topic is discussed it is discussed in terms supportive of smoking restrictions. We also would expect that the more controversial topics such as Bars and restaurants and Casinos, which opponents of smoking bans have argued will be hurt by such bans (Warner, 2000), as well as Enforcement, to exhibit more negative sentiments, indicating that these are the most commonly raised arguments against smoking restrictions. And that is indeed what we find, with Figure C4 showing the Health topic exhibiting the most positive sentiments and Bars and restaurants, Casinos, and Enforcement exhibiting the most negative sentiments.";First, we consider how topics correlate with the timing of smoking ban adoptions at the state level. Figure C5 below shows that the topic State legislation is much more prevalent during months in which state legislation was adopted than in other months, which, of course, is exactly what one would expect.;External: Criterion data / Predictive validation;Yes;"We validate the output of the model by considering some correlations that help us to assess the plausibility of our results. First, we consider how topics correlate with the timing of smoking ban adoptions at the state level. Figure C5 below shows that the topic State legislation is much more prevalent during months in which state legislation was adopted than in other months, which, of course, is exactly what one would expect. Second, Figure C6 looks at the prevalence of topics before and after adoption. This figure shows peaks for several of our topics at the moments one would expect them to be most prominent: State legislation and Electoral politics during the month of adoption, and Enforcement in the first couple of years following policy adoption. Third, we find greater attention to the electoral implication of adoptions in states where restrictions on smoking are more likely to be politically controversial. In particular, we would expect to find the Electoral politics topic to be more common in states where more people smoke, in more politically conservative states, and in states that are under Republican control. Figure C7 shows support for these expectations.
Finally, as we mention in the text, we also coded the sentiment of each topic—that is, whether the newspaper paragraph exhibited a “pro” smoking bans approach (i.e., a positive sentiment toward such bans and restrictions) or an “anti” smoking bans approach (i.e., a negative sentiment). Examining the sentiment for each topic allows us to further validate our measure. In particular, we would expect the Health topic to have the most positive sentiments, indicating that when this topic is discussed it is discussed in terms supportive of smoking restrictions. We also would expect that the more controversial topics such as Bars and restaurants and Casinos, which opponents of smoking bans have argued will be hurt by such bans (Warner, 2000), as well as Enforcement, to exhibit more negative sentiments, indicating that these are the most commonly raised arguments against smoking restrictions. And that is indeed what we find, with Figure C4 showing the Health topic exhibiting the most positive sentiments and Bars and restaurants, Casinos, and Enforcement exhibiting the most negative sentiments.";Second, Figure C6 looks at the prevalence of topics before and after adoption. This figure shows peaks for several of our topics at the moments one would expect them to be most prominent: State legislation and Electoral politics during the month of adoption, and Enforcement in the first couple of years following policy adoption.;External: Criterion data / Predictive validation;Yes;"We validate the output of the model by considering some correlations that help us to assess the plausibility of our results. First, we consider how topics correlate with the timing of smoking ban adoptions at the state level. Figure C5 below shows that the topic State legislation is much more prevalent during months in which state legislation was adopted than in other months, which, of course, is exactly what one would expect. Second, Figure C6 looks at the prevalence of topics before and after adoption. This figure shows peaks for several of our topics at the moments one would expect them to be most prominent: State legislation and Electoral politics during the month of adoption, and Enforcement in the first couple of years following policy adoption. Third, we find greater attention to the electoral implication of adoptions in states where restrictions on smoking are more likely to be politically controversial. In particular, we would expect to find the Electoral politics topic to be more common in states where more people smoke, in more politically conservative states, and in states that are under Republican control. Figure C7 shows support for these expectations.
Finally, as we mention in the text, we also coded the sentiment of each topic—that is, whether the newspaper paragraph exhibited a “pro” smoking bans approach (i.e., a positive sentiment toward such bans and restrictions) or an “anti” smoking bans approach (i.e., a negative sentiment). Examining the sentiment for each topic allows us to further validate our measure. In particular, we would expect the Health topic to have the most positive sentiments, indicating that when this topic is discussed it is discussed in terms supportive of smoking restrictions. We also would expect that the more controversial topics such as Bars and restaurants and Casinos, which opponents of smoking bans have argued will be hurt by such bans (Warner, 2000), as well as Enforcement, to exhibit more negative sentiments, indicating that these are the most commonly raised arguments against smoking restrictions. And that is indeed what we find, with Figure C4 showing the Health topic exhibiting the most positive sentiments and Bars and restaurants, Casinos, and Enforcement exhibiting the most negative sentiments.";Third, we find greater attention to the electoral implication of adoptions in states where restrictions on smoking are more likely to be politically controversial. In particular, we would expect to find the Electoral politics topic to be more common in states where more people smoke, in more politically conservative states, and in states that are under Republican control. Figure C7 shows support for these expectations.;External: Criterion data / Predictive validation;Yes;"We validate the output of the model by considering some correlations that help us to assess the plausibility of our results. First, we consider how topics correlate with the timing of smoking ban adoptions at the state level. Figure C5 below shows that the topic State legislation is much more prevalent during months in which state legislation was adopted than in other months, which, of course, is exactly what one would expect. Second, Figure C6 looks at the prevalence of topics before and after adoption. This figure shows peaks for several of our topics at the moments one would expect them to be most prominent: State legislation and Electoral politics during the month of adoption, and Enforcement in the first couple of years following policy adoption. Third, we find greater attention to the electoral implication of adoptions in states where restrictions on smoking are more likely to be politically controversial. In particular, we would expect to find the Electoral politics topic to be more common in states where more people smoke, in more politically conservative states, and in states that are under Republican control. Figure C7 shows support for these expectations.
Finally, as we mention in the text, we also coded the sentiment of each topic—that is, whether the newspaper paragraph exhibited a “pro” smoking bans approach (i.e., a positive sentiment toward such bans and restrictions) or an “anti” smoking bans approach (i.e., a negative sentiment). Examining the sentiment for each topic allows us to further validate our measure. In particular, we would expect the Health topic to have the most positive sentiments, indicating that when this topic is discussed it is discussed in terms supportive of smoking restrictions. We also would expect that the more controversial topics such as Bars and restaurants and Casinos, which opponents of smoking bans have argued will be hurt by such bans (Warner, 2000), as well as Enforcement, to exhibit more negative sentiments, indicating that these are the most commonly raised arguments against smoking restrictions. And that is indeed what we find, with Figure C4 showing the Health topic exhibiting the most positive sentiments and Bars and restaurants, Casinos, and Enforcement exhibiting the most negative sentiments.";Finally, as we mention in the text, we also coded the sentiment of each topic—that is, whether the newspaper paragraph exhibited a “pro” smoking bans approach (i.e., a positive sentiment toward such bans and restrictions) or an “anti” smoking bans approach (i.e., a negative sentiment). Examining the sentiment for each topic allows us to further validate our measure. In particular, we would expect the Health topic to have the most positive sentiments, indicating that when this topic is discussed it is discussed in terms supportive of smoking restrictions. We also would expect that the more controversial topics such as Bars and restaurants and Casinos, which opponents of smoking bans have argued will be hurt by such bans (Warner, 2000), as well as Enforcement, to exhibit more negative sentiments, indicating that these are the most commonly raised arguments against smoking restrictions.;External: Human Annotated Scores;No;;;;;;;;;;Yes;Yes;Yes;;david.gruening@gesis.org
20.09.2022 22:15:02;Computational Identification of Media Frames: Strengths, Weaknesses, and Opportunities;"Nicholls, Tom; Culpepper, Pepper D.";Yes, Continue with Coding;;Newspaper;English;;Media frames;Supervised: Machine Learning, Unsupervised: Topic Modeling, (Evolutionary) Factor analysis;k-means clustering/NLP, evolutionary factor analysis (EFA), structural topic model (STM);;No;;Yes;"
We also carried out a manual analysis on the Australian dataset, for comparison with the computational methods. The basic structure of the analysis was based upon the procedure recommended by Chong and Druckman (2007, pp. 106–108). In the first stage, the authors specified the event for which frames would be sought; in this case, the Australian banking Royal Commission. In the second stage, the frame-defining attitudes were chosen to be attitudes to the banking scandals. For the third stage, two researchers (the first author and a research assistant well-versed in the Australian banking scandals) worked separately after being briefed on the event and attitudes, and also the Chong & Druckman definition of emphasis frames. Each was issued an identical 300-article ran- domly ordered random sample of the Australian data, and instructed to inductively identify a framing schema.
We do not claim that the results of this manual analysis are “the” gold standard set of frames against which to measure the computational approaches. Given the challenges of operationalizing framing and the low reliability of human coding as a result of researcher effects (Matthes & Kohring, 2008), we offer them as one plausible set of frames, not as the only one. However, they do stand up as reasonably distinct statements of problem definition and causal interpretation of Australian banking scandal of 2018.";We also carried out a manual analysis on the Australian dataset, for comparison with the computational methods.;External: Human Annotated Scores;Yes;"We therefore evaluate the different frame identification methods subjectively, according to the quality of the frames they have selected. There are no quantitative measures of each of these criteria; they are abstract theoretical qualities about which we make judgments. We use three criteria for quality, with the latter two drawing on Gerring (2001) and Roberts et al. (2014). First, the extent to which the frames identified by the methods fit with our understanding of what a media frame is – an interpretive lens that includes the definition of a problem and a diagnosis of its causes (Entman, 1993, p. 52). Second, the extent to which each identified frame is internally coherent. Third, the extent to which each identified frame is externally differentiable from other potential frames.";First, the extent to which the frames identified by the methods fit with our understanding of what a media frame is – an interpretive lens that includes the definition of a problem and a diagnosis of its causes (Entman, 1993, p. 52).;Content Validation;Yes;"We therefore evaluate the different frame identification methods subjectively, according to the quality of the frames they have selected. There are no quantitative measures of each of these criteria; they are abstract theoretical qualities about which we make judgments. We use three criteria for quality, with the latter two drawing on Gerring (2001) and Roberts et al. (2014). First, the extent to which the frames identified by the methods fit with our understanding of what a media frame is – an interpretive lens that includes the definition of a problem and a diagnosis of its causes (Entman, 1993, p. 52). Second, the extent to which each identified frame is internally coherent. Third, the extent to which each identified frame is externally differentiable from other potential frames.";Second, the extent to which each identified frame is internally coherent.;Content Validation;Yes;"We therefore evaluate the different frame identification methods subjectively, according to the quality of the frames they have selected. There are no quantitative measures of each of these criteria; they are abstract theoretical qualities about which we make judgments. We use three criteria for quality, with the latter two drawing on Gerring (2001) and Roberts et al. (2014). First, the extent to which the frames identified by the methods fit with our understanding of what a media frame is – an interpretive lens that includes the definition of a problem and a diagnosis of its causes (Entman, 1993, p. 52). Second, the extent to which each identified frame is internally coherent. Third, the extent to which each identified frame is externally differentiable from other potential frames.";Third, the extent to which each identified frame is externally differentiable from other potential frames.;Content Validation;No;;;;;;;;;;Yes;No;No;;david.gruening@gesis.org
20.09.2022 22:28:15;Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016;"Kaiser, Jonas; Rauchfleisch, Adrian; Bourassa, Nikki";Yes, Continue with Coding;;Newspaper;English;;topic convergence, media topics, linking patterns;Unsupervised: Topic Modeling;Structural topic model (STM);;No;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;;;;david.gruening@gesis.org
