Zeitstempel,title,These are the Authors,"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well",If no: Why is the study out of scope?,source,language,language_others,"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)",construct_new,method_type,method_name,What is the outcome of the method?,Do you have any comments on the study design?,If yes: What are your comments on the study design?,Are steps of validation reported?,Is there a link to an Appendix/additional Materials/GitHub repository?,"
Is the data for the analysis accessible?",Is the code for the analysis accessible?,E-Mail-Adresse,id,doi,journal,year,n_validation,location,v1,v2,v3,v4
2022-11-29T16:23:01Z,Positioning under Alternative Electoral Systems: Evidence from Japanese Candidate Election Manifestos,"Catalinac, Amy","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,Others,Japanese,ideological position,Ideological position,Unsupervised: Text Scaling,Wordfish,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Positioning_Catalinac,",10.1017/S0003055417000399,American Political Science Review,2018,3,a,"First, we examined the position of the average
candidate of each party. Figure 1 plots these averages,
sorted from most ideologically left (smallest), to most
ideologically right (largest), with the lines around the
dots representing 95% confidence intervals. Several
aspects of this figure suggest that the model recovered
substantively meaningful positions. The average
JCP candidate is located to the left of all other parties
in all elections. The average LDP candidate is located
to the right of the average socialist candidate
in all elections, where socialist candidates ran from
the JSP in 1986, 1990, and 1993, from the SDP and
New Socialist Party (NSP) in 1996, and from the SDP
thereafter. The average LDP candidate is located to
the right of the average DPJ candidate in all elections
in which both parties ran. The confidence intervals
around the average LDP and NLC position overlap
in 1986 and a difference-in-means test confirmed
that their means were indistinguishable. These parties
merged a month after the election. Strikingly, the ordering
of parties in 2003 exactly matches their ordering
in a 2003 survey in which experts were asked to locate
them on a left-right dimension (Laver and Benoit
2005).
Second,",examaning position,Content Validation,Yes
2022-11-29T16:23:01Z,Positioning under Alternative Electoral Systems: Evidence from Japanese Candidate Election Manifestos,"Catalinac, Amy","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,Others,Japanese,ideological position,Ideological position,Unsupervised: Text Scaling,Wordfish,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Positioning_Catalinac,",10.1017/S0003055417000399,American Political Science Review,2018,3,b,"Second, we examined the correlation between our
estimates and those obtained from other data. The
University of Tokyo and one of Japan’s largest newspapers,
the Asahi Shimbun, have conducted several
waves of theAsahi-Todai Elite Survey, which asks candidates
contesting HOR elections their positions on a
battery of policy issues. In the 2003 and 2005 HOR
elections, candidates were asked to locate themselves
on a 10-point ideological scale, in which they were told
1 represented the most “progressive” (left) position
and 10 represented the most “conservative” (right).
These surveys boast high response rates: 95% in 2003
(1,104 of 1,159 candidates) and 91% in 2005 (1,034 of
1,131 candidates). In both elections, the correlation between
our estimates and these self-reported positions
was positive and highly significant. In 2003, Pearson’s
r = .81 (n = 904), while in 2005, Pearson’s r = .80
(n = 853).7",comparison against survey questions,External: Criterion data / Predictive validation,Yes
2022-11-29T16:23:01Z,Positioning under Alternative Electoral Systems: Evidence from Japanese Candidate Election Manifestos,"Catalinac, Amy","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,Others,Japanese,ideological position,Ideological position,Unsupervised: Text Scaling,Wordfish,NA,No,NA,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Positioning_Catalinac,",10.1017/S0003055417000399,American Political Science Review,2018,3,c,"Third, we read manifestos located at the left and
right to evaluate whether the meaning of the dimension
coheres with work on the nature of ideological
competition in Japan. This has drawn two main conclusions.
First, Curtis (1999, 29-30) describes how “violent
ideological conflict” between conservatives committed
to overturning the postwar order and progressives committed to furthering democratization gave way to
a less-polarized system in the 1970s in which conservatives
became “committed to a policy of making
cautious, incremental adjustments in the status quo”
and progressives remained committed to reorganizing
Japan’s political and economic system but had abandoned
their most-extreme positions. Second, Proksch,
Slapin, and Thies (2011) and Laver and Benoit (2005)
show that conservatives and progressives differ little
on economics, but substantially on social, foreign, and
environmental policy. Consistent with both, we found
that the dimension was support versus opposition to
the establishment, and the issues distinguishing the
ends tended to concern social and foreign policy, not
economics.
Manifestos on the right spoke of traditional values,
the hometown, the family unit, established career
paths,mainstream life choices, the agencies of the state,
law and order, and the status quo in foreign policy. For
example, candidates extolled the virtues of working
together as a group and lamented the disappearance
of warm, local communities were everyone had a role
to play and respected others. They promised to pursue
freedom in moderation, restore Japan’s spiritual
backbone, realize a proud society built on deep bonds
between people, encourage young people to remain in
the hometown, encourage the buying and selling of locally
made products, increase the health of youngsters
through physical sports such as baseball and soccer, and
further strengthen the U.S.-Japan alliance. In contrast,",examaning top left- and right manifestos,Content Validation,No
2022-11-30T17:36:10Z,Economic decline and extreme-right electoral threat: How district-level factors shape the legislative debate on immigration,"Tzelgov, Eitan; Olander, Petrus","Yes, Continue with Coding",NA,Party Politics: Parliamentary Records,Others,Swedish,position on immigration,Ideological position,Unsupervised: Text Scaling,Wordfish,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"Economic_Tzelgov,",NA,Legislative Studies Quarterly,2018,2,a,"First, in Figure 1, we present the distribution of me-
dian MP positions by party. two things emerge from the figure. 
First, MPs across all parties—with the exception of the sweden 
democrats—express positions across the entire range of the 
scale.8 this echoes Widfeldt’s (2015) argument that one would 
be hard-pressed to find differences between parties on immigra-
tion. second, the median position for the sweden democrats (sd 
in the figure) is the most cultural difference oriented, and the 
distribution is truncated from below, indicating that these MPs 
rarely engage in socioeconomic responsibility oriented rhetoric. 
this reflects its emphasis of swedish nationalism and nativism 
(Hellstrom, Nilsson, and stoltz 2012).",face validity,Content Validation,Yes
2022-11-30T17:36:10Z,Economic decline and extreme-right electoral threat: How district-level factors shape the legislative debate on immigration,"Tzelgov, Eitan; Olander, Petrus","Yes, Continue with Coding",NA,Party Politics: Parliamentary Records,Others,Swedish,position on immigration,Ideological position,Unsupervised: Text Scaling,Wordfish,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"Economic_Tzelgov,",NA,Legislative Studies Quarterly,2018,2,b,"We also validate the scale by comparing it to estimates from 
a structural topic model (stM) (roberts, stewart, and tingley 
2018). the stM offers a framework to estimate the topic of each 
document (speech). Within this framework, each topic is con-
ceived to be a mixture over words, and each word has a prob-
ability of belonging to a topic. Below, we present the results of 
a 10-topic model, which was selected based on its log-likelihood 
(griffiths and steyvers 2004) and perplexity (Cao et al. 2009).table 2 presents the characteristic words of the topics.10 the 
table reveals that some topics identified by the stM model are 
closely related to the poles estimated by the wordfish model. 
thus, for example, words such as hate crime, racism, and reli-
gion appear as having high discriminatory value according to the 
wordfish model and as being indicative of a topic we label identity. 
similarly, words such as unaccompanied youth, municipality, and 
reception are informative according to the wordfish model and 
are indicative of an stM topic we have labeled reception. Further 
examination reveals a number of stM topics characterized by 
words that the wordfish model has also identified as informative.
given that the stM has identified similar sets of words as 
the wordfish model, we move to compare the topics. specifically, 
we examine the degree to which the wordfish-scale estimates 
correspond to the relevant topic probabilities from the stM al-
gorithm. We should expect strong positive correlations between 
our scale and the stM identity and security topics, and negative 
correlations with the reception and economy topics. in Figure 2, we present the relevant correlations, which support our expecta-
tions. six stM topics have substantively significant correlations 
with the wordfish scale. as expected, identity and security topics 
are aligned with the wordfish scale. We also note that the legality 
topic (dealing with the possible deportation of migrants) is highly 
correlated with the scale. in addition, there are significant nega-
tive correlations between the wordfish scale and socioeconomic 
responsibility aspects captured in stM model in topics such as 
reception, economy, and education.",comparison with STM scores,External: Scores from other CATM,No
2022-11-11T10:31:46Z,Reverting trajectories? UKIP’s organisational and discursive change after the Brexit referendum,"Klein, Ofra; Pirro, Andrea L. P.","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,issue salience,Issue Salience,Rule-based: Development dictionary,na,NA,Yes,extremly short validation paragraph,Yes,No,NA,NA,lukas.birkenmaier@outlook.de,"Reverting_Klein,",10.1080/1369118X.2020.1792532,"Information, Communication & Society",2021,1,a,"These dictionaries were refined by comparing the outcomes of the dictionary classification with those by a human coder. Keywords were added to or removed from the dictionaries on the basis of potential inconsistencies. This process was repeated several times to improve the precision (i.e. how often a tweet that is identified by the dictionary is also about the topic of the dictionary) and recall (i.e. how often the dictionary fails to detect relevant tweets) of the dictionaries. Table 3 outlines the precision, recall, and F1 measures for the dictionaries used in this study. These measures are based on a manual coding of 300 randomly selected tweets (see also Sheafer et al., 2014).",manual coding of a subsample (even though not sure if they used the validation or test set),External: Human Annotated Scores,No
2022-11-14T10:46:55Z,Social Media and Political Agenda Setting,"Gilardi, Fabrizio; Gessler, Theresa; Kubli, Maël; Müller, Stefan","Yes, Continue with Coding",NA,"Newspaper, Social Media: Twitter, Party Politics: Press Releases",Others,"Swiss, French",issue salience (Attention to Political Issues),Issue Salience,Supervised: Machine Learning,na,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Social_Gilardi,",10.1080/10584609.2021.1910390,Political Communication,2022,2,a,"The classifiers are built around an ensemble procedure which uses different algorithms to
classify the texts (Géron, 2019). The feature engineering is based on a Word to Vector
(Word2Vec) approach. Word2Vec is a neural network trained to reconstruct linguistic
context of words using a vector space built form a large corpus of words. We base the vector
space on our text corpus which enables us to reconstruct the linguistic context of words
within the political domain. The ensemble classifiers for tweets and longer texts both
perform reasonably well over all topics of interest. The main difference between the two
classifier systems, besides the different training data, is that the social media classifier
classifies texts into ten different topics, while the second classifier considers a slightly
wider range of topics (see also Table A1). The ensemble method results in out-of-sample
accuracy of at least 80% for all classes in German and French. Tables A2 and A39 provide
detailed information on the classifier performance",hand-coding,External: Human Annotated Scores,Yes
2022-11-14T10:46:55Z,Social Media and Political Agenda Setting,"Gilardi, Fabrizio; Gessler, Theresa; Kubli, Maël; Müller, Stefan","Yes, Continue with Coding",NA,"Newspaper, Social Media: Twitter, Party Politics: Press Releases",Others,"Swiss, French",issue salience (Attention to Political Issues),Issue Salience,Supervised: Machine Learning,na,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Social_Gilardi,",10.1080/10584609.2021.1910390,Political Communication,2022,2,b,"The classifiers are built around an ensemble procedure which uses different algorithms to
classify the texts (Géron, 2019). The feature engineering is based on a Word to Vector
(Word2Vec) approach. Word2Vec is a neural network trained to reconstruct linguistic
context of words using a vector space built form a large corpus of words. We base the vector
space on our text corpus which enables us to reconstruct the linguistic context of words
within the political domain. The ensemble classifiers for tweets and longer texts both
perform reasonably well over all topics of interest. The main difference between the two
classifier systems, besides the different training data, is that the social media classifier
classifies texts into ten different topics, while the second classifier considers a slightly
wider range of topics (see also Table A1). The ensemble method results in out-of-sample
accuracy of at least 80% for all classes in German and French. Tables A2 and A39 provide
detailed information on the classifier performance",error analysis (discussing different Performances of classifiers on subgroups),Content Validation,No
2022-11-10T21:57:39Z,The Mobilizing Effect of Parties' Moral Rhetoric,"Jung, Jae‐Hee","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,English,NA,moral rhetoric,Morality/Norms,Rule-based: Adjusted dictionary,Moral Foundations Dictionary,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"The_Jung,",10.1111/ajps.12476,American Journal of Political Science,2020,5,a,"First, I have checked that Moral rhetoric is consistent with conventional wisdom on the moral foundations of leftist voters and rightist voters. One of the most notable findings in the literature on the moral foundations theory is that the left and the right have different moral worlds (Graham, Haidt and Nosek 2009). That is, leftists tend to prioritize the care/harm and fairness/cheating foundations (i.e., individualizing foundations) over the authority/subversion, loyalty/betrayal, and sanctity/degradation foundations (i.e., binding foundations). Rightists, on the other hand, have a more even emphasis on individualizing and binding foundations. If so, my measure should pick up this pattern since parties are likely to use language that aligns with the moral worlds of their base. Therefore, I classified the ideology of the parties in my data using the ‘rile’ score from the Manifesto Project (Volkens et al. 2016). I coded parties with a score smaller than or equal to the mean value in the data as left-wing and parties with a score larger than the mean value as right-wing. Then, I checked whether left-wing parties have a higher percentage of quasi-sentences appealing to the care/harm and fairness/cheating foundations than the other three foundations. I find that left-wing parties indeed have higher proportions of quasisentences appealing to the individualizing foundations (mean difference = 0.02, p = 0.00 in a paired one-tailed t-test). I also checked whether right-wing parties have an even usage of individualizing and binding foundations. Results show that right-wing parties have no difference in the proportion of quasi-sentences appealing to the care/harm and fairness/cheating foundations and the proportion of quasi-sentences appealing to the loyalty/betrayal, authority/subversion, and sanctity/degradation foundations (mean difference = −0.01, p = 0.42 in a paired two-tailed t-test). The results are plotted in Figure SI3.1. These patterns remain the same when I code parties with a rile score of ‘0’ or below as left-wing and the rest as right-wing. I have also checked whether (1) left-wing parties appeal to individualizing foundations more than right-wing parties do and (2) right-wing parties appeal to binding foundations more than left-wing parties do. These are the expectations one might have based on Lipsitz (2018)’s finding that (1) liberal candidates (in the U.S. context) are more likely to emphasize the care and fairness foundations in their ads than conservative candidates do and (2) conservative candidates are more likely to emphasize the authority, loyalty, and sanctity foundations than liberal candidates do. In my data, I find that left-wing parties’ emphasis on individualizing foundations is one-percentage point higher than right-wing parties’ emphasis on individualizing foundations and that the difference is not statistically significant (p = 0.27 in a one-tailed t-test). On the other hand, I find that right-wing parties’ emphasis on bindings foundations is three-percentage points higher than left-wing parties’ emphasis on binding foundations and that the difference is statistically significant (p = 0.06 in a one-tailed t-test). The results are plotted in Figure SI3.2. Although the results are partially supportive of the expectations, I do not believe that I need to take great stock of the results because the difference in individualizing (binding) appeals between left-wing parties and right-wing parties does not necessarily have to play out in political texts. For example, suppose that a left-wing party A devotes 20% of its manifesto to moral appeal while a right-wing party",examaning differences between groups based on knowledge about the data,Content Validation,Yes
2022-11-10T21:57:39Z,The Mobilizing Effect of Parties' Moral Rhetoric,"Jung, Jae‐Hee","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,English,NA,moral rhetoric,Morality/Norms,Rule-based: Adjusted dictionary,Moral Foundations Dictionary,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"The_Jung,",10.1111/ajps.12476,American Journal of Political Science,2020,5,b,"Second, I have assessed both convergent and discriminant construct validity by looking at the relationship of my measure with a measure that is likely to be positively correlated but distinct: sociocultural issue emphasis. If my measure captures moral rhetoric well, it should have a positive correlation with the extent to which a party emphasizes social issues. Although moral rhetoric can emerge in a wide range of policy areas, intuition suggests that social issues like culture and family policy are more conducive to moral rhetoric than economic issues like trade and jobs because of the nature of the issue area. Hence, there should be a positive correlation between moral rhetoric and sociocultural issue emphasis. However, moral rhetoric is a different concept from sociocultural issue emphasis, so the positive correlation should not be high if my measure is measuring what it is supposed to measure. To test this, I calculated the proportion of sociocultural quasi-sentences for all the manifestos in my data. To identify sociocultural quasi-sentences, I followed the categorization developed in Tavits and Potter (2015). The correlation I find between Moral rhetoric and sociocultural issue emphasis is 0.21. The correlation is significant in a one-tailed test (p = 0.03). This provides evidence in support of the construct validity of Moral rhetoric",correlation with sociocultural issue emphasis as an unrelated concept...but it is unclear to me how the author tests sociocultural issue emphasis!,Unsure,Yes
2022-11-10T21:57:39Z,The Mobilizing Effect of Parties' Moral Rhetoric,"Jung, Jae‐Hee","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,English,NA,moral rhetoric,Morality/Norms,Rule-based: Adjusted dictionary,Moral Foundations Dictionary,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"The_Jung,",10.1111/ajps.12476,American Journal of Political Science,2020,5,c,"Third, I have checked whether moral rhetoric is used more in the sociocultural dimension than the economic dimension. This is again based on the intuition that moral rhetoric is more easily used in sociocultural issues than economic issues. I have classified the quasi-sentences into the two dimensions using the classification developed in Tavits and Potter (2015). I find that parties do have a higher proportion of moral quasi-sentences among quasi-sentences in the sociocultural dimension than among quasi-sentences in the economic dimension. The mean proportion in the sociocultural dimension is 0.43; the mean proportion in the economic dimension is 0.31 (mean difference = 0.12, p = 0.00 in a paired one-tailed t-test)",Examinatino of differneces between groups,Content Validation,Yes
2022-11-10T21:57:39Z,The Mobilizing Effect of Parties' Moral Rhetoric,"Jung, Jae‐Hee","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,English,NA,moral rhetoric,Morality/Norms,Rule-based: Adjusted dictionary,Moral Foundations Dictionary,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"The_Jung,",10.1111/ajps.12476,American Journal of Political Science,2020,5,d,"Fourth, I find that my measure of moral rhetoric does not have a systematic correlation with ideology, indicating that moral rhetoric is a distinct concept rather than a proxy for ideological extremism. The correlation between Moral rhetoric and the ‘rile’ score is 0.10 and not statistically significant (p = 0.38). Moreover, Figure SI3.3 shows that there is no Ushaped relationship. I also find that Moral rhetoric is not systematically different between mainstream parties and niche parties. The mean for mainstream parties is 0.29, and the mean for niche parties is 0.30 (p = 0.79 in a two-tailed t-test).",examination with left-right scale (rile-score),External: Criterion data / Predictive validation,Yes
2022-11-10T21:57:39Z,The Mobilizing Effect of Parties' Moral Rhetoric,"Jung, Jae‐Hee","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,English,NA,moral rhetoric,Morality/Norms,Rule-based: Adjusted dictionary,Moral Foundations Dictionary,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"The_Jung,",10.1111/ajps.12476,American Journal of Political Science,2020,5,e,"Lastly, I find some evidence that the level of moral rhetoric reflected in my manifestobased measure is played out in campaign speech data. With the dictionary I used to create Moral rhetoric, I created a speech-based measure of moral rhetoric at the sentence level for ten parties that I could find data on: the two major parties in the 2004, 2007, 2010, and 2013 Australian elections3 and the two major parties in the 2011 New Zealand general election.The correlation between Moral rhetoric and the speech-based measure is 0.82 (p = 0.00).",comparison with scores from the same measure for both manifesto data as well as campaign speech data (so kind of an robustness check),Unsure,No
2022-11-18T12:26:12Z,"Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","Liu, Jiaying; Siegel, Leeann; Gibson, Laura A; Kim, Yoonsang; Binns, Steven; Emery, Sherry; Hornik, Robert C","Yes, Continue with Coding",NA,"Newspaper, Social Media: Twitter, Social Media: Youtube",English,NA,social norms,Morality/Norms,Supervised: Machine Learning,SML,NA,No,NA,Yes,No,NA,NA,lukas.birkenmaier@outlook.de,"Toward_Liu,",10.1093/joc/jqz033,Journal of Communication,2019,1,a,"we assessed the validity of our classifiers by looking at the testset correlations. Additionally, we looked at the classifiers’ precision and recall in the
training and test sets (Table 2). Precision refers to the proportion of cases hand coded
as fitting in a norms category, out of all items coded by the classifier as fitting in this
norms category; a high precision would suggest that a classifier is highly accurate
in finding relevant items, which is an indication of exactness. Recall, on the other
hand, refers to the proportion of cases the classifier coded as fitting in a norms
category, out of all hand coded, relevant items; thus, a high recall would suggest that a
classifier returned most of the relevant results, which is an indication of a high degree
of completeness in retrieval. We applied the final classifiers to the whole long-form
corpus to calculate the overall prevalence and trends for each norms category",hand-coding (MTURK),External: Human Annotated Scores,No
2022-11-10T20:57:55Z,Twitter made me do it! Twitter's tonal platform incentive and its effect on online campaigning,"Mueller, Samuel David; Saeltzer, Marius","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,(negative) tone,Negativity,"Supervised: Machine Learning, Rule-based: Off-the-shelf dictionary",Lexicoder,NA,No,NA,Yes,No,NA,NA,lukas.birkenmaier@outlook.de,"Twitter_Mueller,",10.1080/1369118X.2020.1850841,"Information, Communication & Society",2020,2,a,"First, we test the accuracy of the dictionary on coded data, second, we use machine learning to classify the rest of the tweets. To validate our sentiment dictionary measurement, we had two coders code sentiment of a sample of 2000 tweets. Tweets were coded following a code book developed by Mohammad (2016), separating them in five categories: positive, negative, neutral, sarcastic, and ambivalent. We then compared the sentiment score computed by the dictionary, coded down to the categorical level (negative tone < 0, positive tone > 0) to all tweets in the first three categories. We achieved a classification accuracy of 0.7 (see appendix for details).",comparing hand coding,External: Human Annotated Scores,Yes
2022-11-10T20:57:55Z,Twitter made me do it! Twitter's tonal platform incentive and its effect on online campaigning,"Mueller, Samuel David; Saeltzer, Marius","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,(negative) tone,Negativity,"Supervised: Machine Learning, Rule-based: Off-the-shelf dictionary",Lexicoder,NA,No,NA,Yes,No,NA,NA,lukas.birkenmaier@outlook.de,"Twitter_Mueller,",10.1080/1369118X.2020.1850841,"Information, Communication & Society",2020,2,b,"To extend the validation from coding to all observations, we used a Naive Bayes classifier from the Quanteda package to classify tweets into three categories: neutral, negative, and positive. After training the classifier on the 2000 coded tweets, we used it to classify the remaining 95,909 tweets. Since the measurement is now categorical and not continuous from −1 to 1, coefficients are not directly comparable. To produce comparable output, we created a categorical measurement based on the sentiment analysis. Using the new categorical measurements of tone, we performed an identical analysis to our main analysis to see whether our previous results are supported by (1) the categorical measurement based on the sentiment analysis and (2) by the completely unrelated measurement produced by the Naive Bayes classifier.7 The results are summarized in Table 2. Most findings from the main analysis are supported by the analysis that uses a categorical measurement of sentiment for both measurements, based on a sentiment analysis",running the same analysis using a different measurement method,Unsure,No
2022-11-28T10:22:37Z,More than Bags of Words: Sentiment Analysis with Word Embeddings,"Rudkowsky, Elena; Haselmayer, Martin; Wastian, Matthias; Jenny, Marcelo; Emrich, Štefan; Sedlmair, Michael","Yes, Continue with Coding",NA,Party Politics: Parliamentary Records,Others,German,negativity,Negativity,Supervised: Machine Learning,Supervised sentiment analysis approach with distributed word embeddings,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"More_Rudkowsky,",10.1080/19312458.2018.1455817,Communication Methods and Measures,2018,2,a,"First, we measure the accuracy of our model on
previously unseen training examples and compare its accuracy with a bag-of-words approach.",hand-coding,External: Human Annotated Scores,Yes
2022-11-28T10:22:37Z,More than Bags of Words: Sentiment Analysis with Word Embeddings,"Rudkowsky, Elena; Haselmayer, Martin; Wastian, Matthias; Jenny, Marcelo; Emrich, Štefan; Sedlmair, Michael","Yes, Continue with Coding",NA,Party Politics: Parliamentary Records,Others,German,negativity,Negativity,Supervised: Machine Learning,Supervised sentiment analysis approach with distributed word embeddings,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"More_Rudkowsky,",10.1080/19312458.2018.1455817,Communication Methods and Measures,2018,2,b,"Second, we test its external validity with several hypotheses on expected patterns of negativity in
parliamentary speeches in the Austrian parliament",external validity (testing hypothesis),Content Validation,No
2022-11-24T13:51:46Z,Multi-Label Prediction for Political Text-as-Data,"Erlich, Aaron; Dantas, Stefano G.; Bagozzi, Benjamin E.; Berliner, Daniel; Palmer-Rubin, Brian","Yes, Continue with Coding",NA,Party Politics: Access to Information Requests,Others,Spanish,"Multilabel predictions (use of legalistic and technical language, the number of distinct pieces of information requested, and the appropriateness of the request for the targeted agency)",Others,Supervised: Machine Learning,n.a.,NA,Yes,only smaller case studies,NA,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Multi-Label_Erlich,",10.1017/pan.2021.15,Political Analysis,2021,1,a,"With this sample of 4,925 human coded requests,we then trained all aforementioned classifiers
on this sample, classifying all 1,021,028 remaining (non-human coded) ATI requests for each
of our 26 labels. All relevant text processing steps that were applied to the raw texts prior to
classification—and the hyperparameters used for each model—are described in the Supplementary
Material. The overall level of correlation for our 26 labels is not high, suggesting that this
application is a “hard test” for the potential benefits of multi-label classification. On average, the
correlation between our pairs of hand-coded labels is 0.06 with the lowest and highest pairwise
correlations being 0 and 0.40, respectively.
We next evaluate the value added of the multi-label framework (i.e., of considering inter-label
relations for our document-level labels). In order to do so, we compare the results obtained
from four plausible approaches to handling multi-label data. The first pair of general approaches
that we consider are BR and ML-kNN. Recall that neither of these two approaches consider label
relations. By contrast, the second pair of generalmulti-label approaches thatwe consider (CC and
LP) do consider label correlations.",hand-coding,External: Human Annotated Scores,No
2022-11-08T11:37:24Z,Measuring Congressional Partisanship and Its Consequences,"Gelman, Jeremy; Wilson, Steven Lloyd","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,political partisanship,Partisanship,Supervised: Machine Learning,convolutional neural network,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Measuring_Gelman,",10.1111/lsq.12331,Legislative Studies Quarterly,2022,5,a,"in order to evaluate whether the neural networks were effective, we took a random sample of 2,000 hand-coded tweets and used them as testing data. We trained the algorithm on the other 38,000 hand-coded posts and had it predict whether tweets in the test set were partisan or not. the neural network performs well, accurately classifying 92% of the out-of-sample test data.21",Testing on hand-coded sample,External: Human Annotated Scores,Yes
2022-11-08T11:37:24Z,Measuring Congressional Partisanship and Its Consequences,"Gelman, Jeremy; Wilson, Steven Lloyd","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,political partisanship,Partisanship,Supervised: Machine Learning,convolutional neural network,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Measuring_Gelman,",10.1111/lsq.12331,Legislative Studies Quarterly,2022,5,b,"First, we expect party leaders to rate as strong partisans. they are tasked with protecting the party’s reputation (Cox and McCubbins 2005), orchestrating its messaging campaigns (Lee 2016), and regularly use partisan rhetoric on twitter (russell 2018). We ran a one-tailed t- test to determine if leaderships’ scores (0.39) are significantly higher than the rank and file (0.22).22. as we expect, the t-test shows party leaders are significantly more partisan than the rank and file (p < 0.0001). We find similar results when we expand the definition of leadership to include committee chairs and ranking members.",Identifying single MPS,Content Validation,Yes
2022-11-08T11:37:24Z,Measuring Congressional Partisanship and Its Consequences,"Gelman, Jeremy; Wilson, Steven Lloyd","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,political partisanship,Partisanship,Supervised: Machine Learning,convolutional neural network,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Measuring_Gelman,",10.1111/lsq.12331,Legislative Studies Quarterly,2022,5,c,"second, we use our training set to predict the partisan intensity of nine out-of-sample twitter accounts: President trump, the House and senate republicans, the House and senate democrats, and each congressional party’s campaign account (the NrCC, NrsC, dCCC, and dsCC). President trump regularly invoked partisan language on twitter, praising republicans and disparaging democrats. the party accounts are used to advance partisan online messaging campaigns. as such, we expect our model to rate each account as highly partisan. table 4 lists these scores and their within-party percentile. Not surprisingly, these accounts, especially the parties’ electioneering arms, emphasize partisan rhetoric much more often than the average member of Congress. the parties themselves, and President trump, also display high levels of partisan intensity and consistently rate as posting the highest proportion of partisan messages within their parties.",predicting out of sample accounts,Content Validation,Yes
2022-11-08T11:37:24Z,Measuring Congressional Partisanship and Its Consequences,"Gelman, Jeremy; Wilson, Steven Lloyd","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,political partisanship,Partisanship,Supervised: Machine Learning,convolutional neural network,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Measuring_Gelman,",10.1111/lsq.12331,Legislative Studies Quarterly,2022,5,d,"as a third validation check, we assess whether our measure captures the partisan intensity surrounding some particularly bitter disputes between democrats and republicans. When events largely viewed as partisan arise, we should observe an increase in partisanship. to assess this, we use the eight partisan events from table 1 as moments we expect to see spikes in interparty fighting and calculated aggregate congressional partisanship scores during the week those events occurred. For ones that spanned more than a week, we calculated the score during the moments we expect partisan fighting to peak.23. We conducted a one-tailed test to assess whether legislators displayed more partisan intensity during these high-profile fights. as expected, the average partisanship score the week after these events occurred was 0.29. during the rest of these two congresses, it was significantly lower at 0.23 (p < 0.0001).",comparing with external events,External: Criterion data / Predictive validation,Yes
